"01-446 Aurora" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"14-945 Meadow Creek No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,45 
"14-945 Meadow Creek No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,12 
"14-945 Meadow Creek No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,388 
"14-945 Meadow Creek No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,23 
"14-950 Meadow Creek No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"14-950 Meadow Creek No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"14-950 Meadow Creek No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1985 
"14-950 Meadow Creek No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,935 
"14-950 Meadow Creek No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,1 
"14-950 Meadow Creek No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,226 
"14-950 Meadow Creek No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"14-950 Meadow Creek No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,63 
"14-950 Meadow Creek No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,13 
"14-950 Meadow Creek No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,598 
"14-950 Meadow Creek No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,28 
"14-955 Eagle River No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"14-955 Eagle River No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"14-955 Eagle River No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1113 
"14-955 Eagle River No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,436 
"14-955 Eagle River No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,8 
"14-955 Eagle River No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,120 
"14-955 Eagle River No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"14-955 Eagle River No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,34 
"14-955 Eagle River No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,4 
"14-955 Eagle River No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,258 
"14-955 Eagle River No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,11 
"14-960 Eagle River No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"14-960 Eagle River No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"14-960 Eagle River No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2978 
"14-960 Eagle River No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1106 
"14-960 Eagle River No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"14-960 Eagle River No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,304 
"14-960 Eagle River No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"14-960 Eagle River No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,105 
"14-960 Eagle River No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,8 
"14-960 Eagle River No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,638 
"14-960 Eagle River No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,36 
"14-965 Chugach Park No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"14-965 Chugach Park No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"14-965 Chugach Park No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,3946 
"14-965 Chugach Park No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1490 
"14-965 Chugach Park No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,8 
"14-965 Chugach Park No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,429 
"14-965 Chugach Park No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"14-965 Chugach Park No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,110 
"14-965 Chugach Park No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,15 
"14-965 Chugach Park No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,846 
"14-965 Chugach Park No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,66 
"14-970 Hiland" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"14-970 Hiland" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"14-970 Hiland" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2569 
"14-970 Hiland" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,889 
"14-970 Hiland" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"14-970 Hiland" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,250 
"14-970 Hiland" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"14-970 Hiland" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,67 
"14-970 Hiland" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,7 
"14-970 Hiland" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,522 
"14-970 Hiland" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,30 
"15-300 JBER No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"15-300 JBER No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"15-300 JBER No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,3479 
"15-300 JBER No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,515 
"15-300 JBER No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"15-300 JBER No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,112 
"15-300 JBER No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"15-300 JBER No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,50 
"15-300 JBER No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,10 
"15-300 JBER No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,327 
"15-300 JBER No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,13 
"15-305 Creekside Park" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"15-305 Creekside Park" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"15-305 Creekside Park" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2098 
"15-305 Creekside Park" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,760 
"15-305 Creekside Park" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"15-305 Creekside Park" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,268 
"15-305 Creekside Park" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,5 
"15-305 Creekside Park" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,44 
"15-305 Creekside Park" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,10 
"15-305 Creekside Park" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,411 
"15-305 Creekside Park" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,13 
"15-310 Muldoon No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"15-310 Muldoon No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"15-310 Muldoon No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1907 
"15-310 Muldoon No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,549 
"15-310 Muldoon No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"15-310 Muldoon No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,228 
"15-310 Muldoon No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,8 
"15-310 Muldoon No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,19 
"15-310 Muldoon No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,16 
"15-310 Muldoon No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,252 
"15-310 Muldoon No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"15-315 Muldoon No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"15-315 Muldoon No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"15-315 Muldoon No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1690 
"15-315 Muldoon No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,485 
"15-315 Muldoon No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,12 
"15-315 Muldoon No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,190 
"15-315 Muldoon No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"15-315 Muldoon No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,29 
"15-315 Muldoon No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,8 
"15-315 Muldoon No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,232 
"15-315 Muldoon No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,10 
"15-320 North Muldoon" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"15-320 North Muldoon" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"15-320 North Muldoon" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2253 
"15-320 North Muldoon" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,518 
"15-320 North Muldoon" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"15-320 North Muldoon" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,189 
"15-320 North Muldoon" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"15-320 North Muldoon" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,35 
"15-320 North Muldoon" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,11 
"15-320 North Muldoon" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,256 
"15-320 North Muldoon" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,19 
"16-325 Russian Jack" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"16-325 Russian Jack" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"16-325 Russian Jack" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1367 
"16-325 Russian Jack" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,472 
"16-325 Russian Jack" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"16-325 Russian Jack" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,227 
"16-325 Russian Jack" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"16-325 Russian Jack" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,35 
"16-325 Russian Jack" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,15 
"16-325 Russian Jack" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,172 
"16-325 Russian Jack" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,14 
"16-330 Nunaka Valley" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"16-330 Nunaka Valley" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"16-330 Nunaka Valley" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2337 
"16-330 Nunaka Valley" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,769 
"16-330 Nunaka Valley" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,9 
"16-330 Nunaka Valley" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,335 
"16-330 Nunaka Valley" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"16-330 Nunaka Valley" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,51 
"16-330 Nunaka Valley" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,19 
"16-330 Nunaka Valley" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,315 
"16-330 Nunaka Valley" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,28 
"16-335 Northeast Anchorage" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"16-335 Northeast Anchorage" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"16-335 Northeast Anchorage" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1822 
"16-335 Northeast Anchorage" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,558 
"16-335 Northeast Anchorage" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,4 
"16-335 Northeast Anchorage" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,206 
"16-335 Northeast Anchorage" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"16-335 Northeast Anchorage" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,34 
"16-335 Northeast Anchorage" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,21 
"16-335 Northeast Anchorage" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,263 
"16-335 Northeast Anchorage" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,23 
"16-340 College Gate" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"16-340 College Gate" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"16-340 College Gate" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1451 
"16-340 College Gate" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,653 
"16-340 College Gate" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,5 
"16-340 College Gate" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,287 
"16-340 College Gate" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"16-340 College Gate" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,39 
"16-340 College Gate" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,12 
"16-340 College Gate" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,292 
"16-340 College Gate" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"16-345 Chester Valley" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"16-345 Chester Valley" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"16-345 Chester Valley" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1468 
"16-345 Chester Valley" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,562 
"16-345 Chester Valley" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"16-345 Chester Valley" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,212 
"16-345 Chester Valley" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"16-345 Chester Valley" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,26 
"16-345 Chester Valley" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,5 
"16-345 Chester Valley" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,298 
"16-345 Chester Valley" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,8 
"16-350 Reflection Lake" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"16-350 Reflection Lake" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"16-350 Reflection Lake" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2819 
"16-350 Reflection Lake" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1076 
"16-350 Reflection Lake" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,5 
"16-350 Reflection Lake" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,422 
"16-350 Reflection Lake" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,7 
"16-350 Reflection Lake" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,66 
"16-350 Reflection Lake" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,17 
"16-350 Reflection Lake" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,527 
"16-350 Reflection Lake" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,26 
"16-355 Wonder Park" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"16-355 Wonder Park" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"16-355 Wonder Park" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1807 
"16-355 Wonder Park" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,664 
"16-355 Wonder Park" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"16-355 Wonder Park" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,277 
"16-355 Wonder Park" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"16-355 Wonder Park" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,41 
"16-355 Wonder Park" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,21 
"16-355 Wonder Park" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,294 
"16-355 Wonder Park" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,18 
"17-400 Rogers Park" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"17-400 Rogers Park" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"17-400 Rogers Park" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1410 
"17-400 Rogers Park" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,636 
"17-400 Rogers Park" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"17-400 Rogers Park" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,323 
"17-400 Rogers Park" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"17-400 Rogers Park" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,47 
"17-400 Rogers Park" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,7 
"17-400 Rogers Park" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,238 
"17-400 Rogers Park" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"17-405 University No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"17-405 University No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"17-405 University No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1237 
"17-405 University No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,350 
"17-405 University No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,4 
"17-405 University No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,177 
"17-405 University No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"17-405 University No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,20 
"17-405 University No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,8 
"17-405 University No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,125 
"17-405 University No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,12 
"17-410 University No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"17-410 University No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"17-410 University No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1401 
"17-410 University No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,516 
"17-410 University No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"17-410 University No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,238 
"17-410 University No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,7 
"17-410 University No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,43 
"17-410 University No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,13 
"17-410 University No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,185 
"17-410 University No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,18 
"17-415 Far North Bicentennial" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"17-415 Far North Bicentennial" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"17-415 Far North Bicentennial" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1363 
"17-415 Far North Bicentennial" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,483 
"17-415 Far North Bicentennial" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"17-415 Far North Bicentennial" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,190 
"17-415 Far North Bicentennial" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,5 
"17-415 Far North Bicentennial" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,24 
"17-415 Far North Bicentennial" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,11 
"17-415 Far North Bicentennial" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,229 
"17-415 Far North Bicentennial" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,14 
"17-420 Tudor No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"17-420 Tudor No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"17-420 Tudor No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,3176 
"17-420 Tudor No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1130 
"17-420 Tudor No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"17-420 Tudor No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,451 
"17-420 Tudor No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"17-420 Tudor No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,67 
"17-420 Tudor No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,27 
"17-420 Tudor No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,524 
"17-420 Tudor No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,39 
"17-425 Tudor No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"17-425 Tudor No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"17-425 Tudor No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1970 
"17-425 Tudor No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,595 
"17-425 Tudor No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,9 
"17-425 Tudor No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,286 
"17-425 Tudor No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"17-425 Tudor No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,43 
